smiles,pubchem,cirpy,exists_any,Has_CAS
C[C@@H]1CC[C@@H](CO)CN1C(=O)OC(C)(C)C,False,True,True,False
C[C@@H]1CC[C@H](CO)C(=O)N1,False,True,True,False
COC(=O)[C@@H]1CC[C@@H](C)NC1=O,False,True,True,False
C[C@@H]1CC[C@H](CO)CN1,False,True,True,False
C[C@@H]1CC[C@@H](Cn2cc(F)ccc2=O)CN1C(=O)OC(C)(C)C,False,True,True,False
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,False,True,True,False
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,False,True,True,False
COC(=O)c1occ(C(=O)O)c(=O)c1OCc1ccccc1,False,True,True,False
CC(=O)Cl,False,True,True,False
COC(=O)c1c(OCc2ccccc2)c(=O)c(C(=O)NCc2ccc(F)cc2F)cn1CC1N[C@H](C)CCO1,False,True,True,False
COC(CN)OC,False,True,True,False
COC(=O)c1c(OCc2ccccc2)c(=O)c(C(=O)NCc2ccc(F)cc2F)cn1CC=O,False,True,True,False
O=C(Cl)c1ccccc1,False,True,True,False
C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4cc(Cc5ccccc5)c(F)cc4F)c(=O)c(O)c3C(=O)N12,False,True,True,False
CC(C)(C)C(=O)Cl,False,True,True,False
Fc1ccc(N=Cc2ccc(OCc3ccccc3)cc2)cc1,False,True,True,False
Oc1ccc(F)cc1,False,True,True,False
Cc1nn(-c2ncccc2C=O)cc1CN1CCC2(CC1)OCC(F)(F)c1cc(Cl)sc12,False,True,True,False
CC(C)(C)OC(=O)N1CCC2(CC1)OCCc1ccsc12,False,True,True,False
Cc1c(CN2CCC3(CC2)OCC(F)(F)c2cc(Cl)sc23)cnn1-c1ncccc1C=O,False,True,True,False
O=C(O)[C@H](Br)CO,False,True,True,False
O=C([O-])[C@@H](O)CN(CCO)Cc1ccccc1,False,True,True,False
c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,False,True,True,False
O=C([O-])[C@@H](O)CN(CCN(CCOS(=O)(=O)[O-])Cc1ccccc1)Cc1ccccc1,False,True,True,False
CC(C)CO,False,True,True,False
O=S(=O)([O-])OCCNCc1ccccc1,False,True,True,False
CCC(C)OCCN(Cc1ccccc1)C[C@H](O)C(=O)[O-],False,True,True,False
O=C([O-])[C@@H](O)CN(CCOS(=O)(=O)[O-])Cc1ccccc1,False,True,True,False
O=C([O-])[C@@H]1CO1,False,True,True,False
CCC(C)O,False,True,True,False
CC(C)COCCN(Cc1ccccc1)C[C@H](O)C(=O)[O-],False,True,True,False
C1COCCN1,False,True,True,False
O=C(O)c1ccc(Cl)c(Cl)n1,False,True,True,False
O=C(O)c1nc(Cl)ccc1Cl,False,True,True,False
[Cl-],False,True,True,False
OB(O)c1ccccc1,False,True,True,False
CCCCOC(=O)c1ccc(Cl)c(-c2ccccc2)n1,False,True,True,False
CCCC[N+](C)(CCCC)CCCC,False,True,True,False
CC(C)(C)/C(CC(=O)NC1C2CC3CC(C2)CC1C3)=N/Nc1ccc(C(=O)O)cc1,False,True,True,False
NNc1ccccc1,False,True,True,False
CC(C)OC(=O)c1ccc(-n2ncc(C(=O)NC3C4CC5CC(C4)CC3C5)c2C(C)(C)C)cc1,False,True,True,False
CC(C)(C)c1cc(NC2C3CC4CC(C3)CC2C4)n(-c2ccc(C(=O)O)cc2)n1,False,True,True,False
CC[C@@H](NC(=O)C(C)(C)C)c1ccnc(S(C)(=O)=O)c1,False,True,True,False
CC[C@@H](NC(C)=O)c1ccnc(S(C)(=O)=O)c1,False,True,True,False
CC[C@@H](NC(=O)C(C)C)c1ccnc(S(C)(=O)=O)c1,False,True,True,False
C[S-],False,True,True,False
CS(=O)[O-],False,True,True,False
C[CH2][Mg][Cl],False,True,True,False
CC[C@@H](N)c1ccnc(S(C)(=O)=O)c1,False,True,True,False
CC(=O)NCC1CO1,False,True,True,False
